Age,M,F
0,66241716,63034518
1,65795647,62607431
2,65934004,62715426
3,66346375,63051269
4,67571549,64042005
5,68878822,65155258
6,69961882,66123151
7,71004996,66996204
8,71078795,66970962
9,71066514,66875557
10,71207254,66924314
11,71448542,67051835
12,71090237,66636704
13,70172923,65743926
14,69747750,65325174
15,69162118,64796944
16,68177735,63925847
17,67088121,62970082
18,66115138,62118032
19,65339230,61447654
20,64640354,60861920
21,64036266,60352331
22,63669753,60024291
23,63585445,59916351
24,62980736,59355134
25,62149943,58615310
26,61856222,58348804
27,61716423,58221857
28,61658107,58173174
29,61508654,58070294
30,61298454,57952673
31,61271410,58029789
32,61531261,58367342
33,62870943,59667085
34,63412349,60286516
35,62307546,59388501
36,61633723,58906022
37,60826690,58341423
38,59281996,57067739
39,57694844,55720317
40,56233438,54420393
41,55588995,53871042
42,54650858,53058511
43,52992409,51557683
44,51525835,50272722
45,49817376,48751631
46,48369437,47497082
47,47679768,46992901
48,47249622,46753874
49,47037474,46700743
50,47054692,46860713
51,46753127,46729516
52,46323204,46494707
53,46012389,46340724
54,45199365,45671576
55,44028016,44756803
56,42212503,43165446
57,40613435,41718361
58,40204643,41506272
59,39627999,41139115
60,39287319,41020806
61,37592688,39509978
62,33362303,35427469
63,30591028,32849315
64,29691708,32185154
65,29180368,31906230
66,29097085,32093860
67,27960460,31208928
68,26547096,30034677
69,25397236,29113341
70,23754038,27601150
71,22398282,26406787
72,20837868,24918331
73,19220298,23292193
74,17788507,21830535
75,16094376,19945697
76,14697094,18392386
77,13280581,16866599
78,11471915,14827623
79,10026847,13185668
80,9106342,12214397
81,8227629,11363273
82,7411933,10626969
83,6627052,9861591
84,5793938,8946849
85,4999239,7990006
86,4299270,7119918
87,3626916,6257448
88,2996423,5406039
89,2420334,4574631
90,1913943,3792168
91,1493750,3134314
92,1144163,2547820
93,860505,2029436
94,626097,1574505
95,438846,1184835
96,299366,867033
97,197484,616020
98,126880,430184
99,79115,291051
100+,110838,476160
